"BFH1_S123"	"BFH10_S128"	"BFH11_S129"	"BFH12_S130"	"BFH13_S131"	"BFH14_S132"	"BFH15_S133"	"BFH16_S134"	"BFH17_S135"	"BFH18_S136"	"BFH19_S137"	"BFH20_S138"	"BFH21_S139"	"BFH22_S140"	"BFH23_S141"	"BFH25_S143"	"BFH28_S146"	"BFH29_S147"	"BFH30_S148"	"BFH31_S149"	"BFH32_S150"	"BFH33_S151"	"BFH34_S152"	"BFH35_S153"	"BFH36_S154"	"BFH37_S155"	"BFH38A_S156"	"BFH39_S158"	"BFH4_S124"	"BFH40_S159"	"BFH41_S160"	"BFH6_S125"	"BFH8_S126"	"BFH9_S127"	"BH01_S76"	"BH02_S77"	"BH03_S78"	"BH05_S80"	"BH06_S81"	"BH07_S82"	"BH09_S83"	"BH27_S92"	"BH29_S93"	"BH30_S94"	"BH34A_S98"	"BH35_S100"	"BH36_S101"	"BH37_S102"	"BH38_S103"	"BH39_S104"	"BH44_S105"	"BH46_S107"	"BH47_S108"	"BH48_S109"	"BH49_S110"	"BH50_S111"	"BH58_S113"	"BH60_S115"	"BH61_S116"	"FH1_S162"	"FH2_S163"	"FH3_S164"	"FH4_S165"	"FH5_S166"	"FH6_S167"	"FH7_S168"	"FH9_S170"
"lmrP_ARO:3003969_ABF33001.1"	0	0	0	0	0	0	0	0	0	0	0	0	3.43029637760703e-05	0	0	0	0	0.000828102485963663	1.12903772115026e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.35514175473914e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"vanHB_ARO:3002943_AAB05626.1"	0	0	0	0	0	0	0	0	0	0	0	1.76146271864156e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.01868566426178e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000952203523153036	0.000544365813826892	1.45089447644473e-05	0	0	0	1.66245511371193e-05	0.000352995163966254
"VIM-38_ARO:3002308_AGE83081.2"	0	0	0	0	0	0	2.56825127770501e-05	0	0	2.67651624645362e-05	2.09264122712482e-05	0.00015853164467774	0	0	0	0.000129673654635833	5.52557419925221e-05	0.000331240994385465	1.12903772115026e-05	0	0	0	0	0	0	2.21724573734507e-05	0	1.86256158094227e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.89043064009981e-05	0	0	0	0	0	0	0	0	0	0
"CMY-17_ARO:3002028_AAS13399.1"	0	0	0	0	0	0	2.56825127770501e-05	0	0	0	0	0	0	0	1.67734576805663e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.42312290089372e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Erm(41)_ARO:3000603_ABW06859.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"vanTG_ARO:3002972_ABA71733.1"	0	0	0	0	6.17652508698606e-05	0	0	4.67814371257485e-05	0	0	1.04632061356241e-05	0	0	0	0	0	0	0.000331240994385465	0.000225807544230053	0.00047936449963477	1.54688611824398e-05	0.00158367059651592	0	2.68521253457211e-05	1.49965507933175e-05	0	1.04121113679432e-05	0.000195568965998938	0.000158099642299559	9.15216620333825e-05	0.000898113960682567	0	0	0	0	0	4.03307118370639e-05	0	6.03737132852356e-05	0	0	0	0	0	8.2153517539776e-05	0	0	0	0	0	0	3.05222354485242e-05	2.34725254090088e-05	5.57527551153153e-05	3.26312182865347e-05	0	0	0	3.75065636486385e-05	0.000289801072263967	9.77066845330318e-05	1.45089447644473e-05	0	0	0	0	0
"ICR-Mc_ARO:3004466_EGE18576.1"	5.74250602963133e-05	2.72836407290189e-05	7.9923273657289e-05	7.1103526734926e-05	0	2.83832879200727e-05	0	2.33907185628743e-05	0	0	0	1.76146271864156e-05	0	2.06308926987271e-05	3.35469153611325e-05	0	1.8418580664174e-05	0	0	0	3.09377223648795e-05	3.51926799225761e-05	5.43606284088644e-05	2.68521253457211e-05	0	3.3258686060176e-05	2.08242227358864e-05	1.86256158094227e-05	0	2.28804155083456e-05	2.99371320227522e-05	2.45688172571372e-05	0	4.93181762138436e-05	0	0	0	0	0	5.19615484541439e-05	0	4.2864184830365e-05	0	5.20969002344361e-05	5.4769011693184e-05	0	2.05647068501039e-05	0	0	0	3.61141206211629e-05	0	4.69450508180175e-05	0	1.63156091432674e-05	0	5.67129192029944e-05	1.84019726914725e-05	1.87532818243193e-05	2.07000765902834e-05	0	4.35268342933418e-05	0	0	0	1.66245511371193e-05	0
"OXA-56_ARO:3001795_AAR32651.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.14320924151825e-05	0	0	0	4.92404658148066e-05	0	0	0	3.38914119162204e-05	3.61141206211629e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AAC(3)-IIIb_ARO:3002537_KSC15183.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.65744024927901e-05	0	0	0	4.11294137002077e-05	0	0	0	0	0	0	0	1.63156091432674e-05	0	0	0	0	0	0	0	0	0	4.45599702933531e-05	0	0
"tet(Y)_ARO:3000182_AAC72341.1"	0	0	0	3.5551763367463e-05	0	0	0	0.00016373502994012	0.000222321031569586	0	5.23160306781204e-05	0	0	0	1.67734576805663e-05	2.16122757726389e-05	3.6837161328348e-05	0	4.51615088460105e-05	0	0	0.00153674702328582	0	0	1.49965507933175e-05	0	0.000666375127548364	9.31280790471135e-05	1.97624552874449e-05	0.000125842285295901	0.000149685660113761	0	0	0	0	0	0	0	0	0	0	2.14320924151825e-05	0	0	0	0	0	0	0	0	0	3.05222354485242e-05	0	1.85842517051051e-05	0	0	0	0	0	0	0	2.90178895288946e-05	0	0	0	1.66245511371193e-05	0
