gene	log2FoldChange
aadA24_1_AM711129	-2.92156636522652
aph(3')-Ib_1_M20305	-2.8779293231656
blaCMY-34_1_EF394370	-2.85481534749702
blaCMY-5_1_Y17716	-2.84682150481101
blaCMY-103_1_KF526116	-2.81785497859825
blaCARB-3_1_S46063	-2.80891722880732
blaBEL-2_1_FJ666063	-2.79897044304954
aac(6')-Il_1_U13880	-2.71520057079909
blaLAT-1_1_X78117	-2.6966955825691
ant(2'')-Ia_19_GQ466184	-2.69244161753645
mef(A)_4_HG423652	-2.68534805537286
ant(2'')-Ia_9_HM367610	-2.6752343604679
tet(A)_1_AJ313332	-2.65762482838406
cml_1_M22614	-2.65466240300591
blaOXA-320_1_KF151169	-2.63746478505776
tet(C)_3_AF055345	-2.62214182800273
floR_1_AF071555	-2.62023569438253
tet(C)_2_AY046276	-2.61359154175654
blaCMY-154_1_MF196231	-2.6115024529743
tet(C)_1_NC_003123	-2.60459610190425
sul1_35_AB281182	-2.60338734653252
aph(3')-Ib_2_AJ744860	-2.57121424328077
blaCMY-53_1_HQ336940	-2.54761287488774
tet(G)_3_S52437	-2.5425734745777
dfrA14_2_Z50805	-2.52820366434159
sul1_38_BX248359	-2.52710746924266
blaCMY-36_1_EU331426	-2.51841604365161
sul2_19_AJ319822	-2.51540002447741
cmlB1_1_AM296481	-2.50724564653951
blaCARB-6_1_AF030945	-2.49201558236387
blaCMY-150_2_NG_060513	-2.47956996638228
sul1_9_AY963803	-2.45273306804477
blaCARB-50_1_NG_052478	-2.44245453708465
dfrA18_1_AJ310778	-2.44099252113719
aadA13_1_AY713504	-2.41873714662454
blaCTX-M-211_1_MH067961	-2.41505194105539
sul2_20_AJ830710	-2.41466664298682
dfrA33_1_FM957884	-2.40206704129616
sul2_13_AJ289135	-2.39606226388896
blaADC-25_1_EF016355	-2.36306121427861
erm(35)_1_AF319779	-2.34992486677511
blaOXA-31_1_AF294653	-2.34588221725919
dfrA14_5_DQ388123	-2.34410164522003
sul1_34_AY047357	-2.34000149504059
dfrA14_3_Z50804	-2.32862615841068
sul2_15_FJ968160	-2.32162152853208
sul2_9_FJ197818	-2.30231492936091
ere(A)_1_AY183453	-2.30218419027288
sul2_14_AJ514834	-2.29946560698032
ant(2'')-Ia_11_HM367620	-2.28971960878056
blaOXA-534_1_KX714285	-2.27212577478331
tet(G)_2_AF133140	-2.27058286532732
dfrA22_4_AJ628423	-2.2525982606262
sul1_37_AF188331	-2.25050028750972
catB3_1_AJ009818	-2.24717683077895
sul1_20_JF262165	-2.22001646643523
sul2_10_AM183225	-2.21650926472889
sul1_2_U12338	-2.21505505725812
sul1_30_JF262178	-2.2020246077232
mef(B)_1_FJ196385	-2.20138313750121
sul2_11_AY232670	-2.20030896119821
sul1_14_AJ517791	-2.19348379351748
sul2_7_HM486907	-2.19044097567478
sul1_39_AY522923	-2.18321650156428
sul1_15_EF667294	-2.18178784184732
sul1_25_AY878717	-2.18098611188579
sul1_22_AY115475	-2.1726497862591
aadA13_2_NC010643	-2.17243952626577
sul1_3_EU855787	-2.16549920257598
qnrA1_1_AY070235	-2.16497193849939
sul1_17_AM746675	-2.1613461293589
sul1_28_JN790946	-2.14834728513683
tet(A)_6_AF534183	-2.14530319759367
blaCTX-M-117_1_JN227085	-2.14322182602326
dfrA1_11_AJ419168	-2.1351191248337
dfrA14_1_KF921535	-2.13421357883726
sul2_12_AF497970	-2.12617475907893
floR_2_AF118107	-2.12408707366419
sul1_21_AJ971344	-2.12146096831315
sul1_26_AY524415	-2.11862137621163
sul1_10_DQ143913	-2.11465506211104
lnu(D)_1_EF452177	-2.10725240345075
sul2_1_AF542061	-2.10640943925123
blaOXA-1_1_HQ170510	-2.09697255803593
catB3_2_U13880	-2.09113247652511
tetB(P)_1_NC_010937	-2.09048338022027
dfrA16_2_AF174129	-2.06834393540728
sul1_19_DQ125241	-2.0683396435068
blaCTX-M-180_1_KX056899	-2.0636350348318
tet(A)_3_AY196695	-2.06309423499864
sul1_11_DQ914960	-2.06199655538612
sul1_18_AY260546	-2.06081184920847
sul1_24_EU117158	-2.05689869992565
blaCTX-M-184_1_KX263247	-2.05341139566148
blaOXA-4_1_AY162283	-2.03969262123908
sul1_29_AJ746361	-2.03061993225105
tetA(P)_2_L20800	-2.0206938733396
blaOXA-347_1_ACWG01000053	-2.02023627640331
sul2_18_AJ830714	-2.01941917833892
sul1_32_EF592571	-2.01393789847686
blaCTX-M-209_1_MH067959	-2.01303369100501
tet(A)_4_AJ517790	-2.01297976010634
ARR-3_1_JF806499	-2.01149168812429
sul1_23_AJ621187	-1.99529894671982
sul2_17_U57647	-1.98569845163882
blaCTX-M-210_1_MH067960	-1.98132255049483
sul1_31_AM040449	-1.97750572556428
sul1_36_X15024	-1.95354886843083
blaCTX-M-202_1_MF195067	-1.94366079173
sul1_7_FJ715937	-1.94122298327118
blaOXA-3_1_L07945	-1.92855128767659
sul1_27_GU562437	-1.90304024931795
blaCTX-M-181_1_KX056900	-1.90107454458709
sul2_2_AY034138	-1.89805665349534
sul1_33_AJ564903	-1.87263420251081
blaCTX-M-186_1_KX446939	-1.86520309507487
aac(6')-IIc_1_NC_012555	-1.86331264636786
blaOXA-209_1_JF268688	-1.8618739004788
blaCTX-M-208_1_MH067958	-1.84249387836745
tet(B)_2_AF326777	-1.83848971849012
blaCTX-M-15_1_AY044436	-1.83554576867781
sul1_8_JN581942	-1.8350808683377
sul2_8_AJ877041	-1.8256490012716
blaCTX-M-139_1_KC107824	-1.81695768505964
tet(36)_1_AJ514254	-1.81664166371752
blaNPS_1_AY027589	-1.81112303570427
sul2_21_AB366440	-1.79530158234491
dfrA14_4_AF393510	-1.79285343229854
tet(A)_5_AJ419171	-1.79128933528285
blaCTX-M-157_1_KM211510	-1.78802474010598
blaCTX-M-88_1_FJ873739	-1.77974849425649
blaCTX-M-127_1_MF196229	-1.77245434682245
sul1_5_EU780013	-1.765031485673
blaCTX-M-183_1_KX263246	-1.76050310565512
tet(B)_1_AP000342	-1.75518765463698
blaCTX-M-150_1_KF769131	-1.73414725743918
aadA24_1_DQ677333	-1.72488766979596
tet(A)_2_X00006	-1.71469220211067
blaCTX-M-101_1_HQ398214	-1.70770964667509
blaCTX-M-3_1_Y10278	-1.70678348458085
blaOXA-21_1_AB626885	-1.70318455239088
blaCTX-M-54_1_DQ303459	-1.69658703809094
blaCMY-152_1_KY978224	-1.68746888358598
cmlA1_2_AB212941	-1.68623429014031
qnrB42_1_JN680743	-1.68420791448448
blaCTX-M-218_1_MH243358	-1.67984530770811
ant(2'')-Ia_2_JF826500	-1.66722705591666
sul2_3_HQ840942	-1.65071436461211
blaCTX-M-188_1_KX676491	-1.6418759156289
blaOXA-246_1_EU886980	-1.57838440338879
aadA22_1_AM261837	-1.56302119449511
sul2_5_AY524415	-1.53588921165087
sul2_6_FN995456	-1.45559077256021
aadA1_3_JQ414041	-1.45315163704425
aadA15_1_DQ393783	-1.40803294998302
ant(3'')-Ia_1_X02340	-1.40571049085228
aadA1_2_FJ591054	-1.40323042197765
blaOXA-368_1_KT736121	-1.39012933913406
aadA17_1_FJ460181	-1.38052514571525
aadA23_1_AJ809407	-1.35864217186884
ant(2'')-Ia_13_DQ176450	-1.34369663027103
aadA8b_2_AM040708	-1.30227750943061
aadA21_1_AY171244	-1.30221361477411
blaOXA-240_1_JX089628	-1.25367962150408
aadA12_1_AY665771	-1.23581918853897
aadA8b_1_AY139603	-1.21717906238313
aadA2_1_NC_010870	-1.21578502899922
blaOXA-74_1_EU161636	-1.1558078268063
aadA2_2_JQ364967	-1.10418145871652
aadA1_4_JQ480156	-1.04519512853349
aph(6)-Id_3_AB109805	-1.04065702633829
aph(3'')-Ib_1_M28829	-1.02899508428254
aac(6')-Ib_1_M21682	1.14042251584231
aac(6')-Ib11_1_AY136758	1.17690899590979
aac(6')-Ib_2_M23634	1.20550592168685
aac(6')-Ib-Suzhou_1_EU085533	1.25918227814779
aac(6')-Ib3_1_X60321	1.28874005186322
blaTEM-108_1_AF506748	1.29857938320364
ant(3'')-Ii-aac(6')-IId_1_AF453998	1.30253571871755
qnrB17_1_JN173051	1.31694425201159
blaTEM-185_1_JF795538	1.34771734778108
aac(6')-Ib-Hangzhou_1_FJ503047	1.40318951785713
blaGES-6_1_AY494718	1.40984081012199
blaGES-22_1_JX023441	1.41718747379319
blaTEM-81_1_AF427127	1.43391307077274
blaTEM-1C_1_FJ560503	1.43601265057971
qnrB11_1_EF653270	1.43875284417528
dfrA12_6_AY551331	1.45120512653469
blaGES-4_1_AB116723	1.45503358721928
blaTEM-168_1_FJ919776	1.48459014884928
qnrB81_1_KX372671	1.48785525787885
blaPLA-6A_1_DQ251478	1.4973237417789
blaTEM-150_1_AM183304	1.50317248590141
blaTEM-98_1_AF397068	1.52436531852455
aac(3)-Ib-aac(6')-Ib'_1_AF355189	1.54059200834994
blaGES-21_1_JQ772478	1.54431976381394
blaTEM-52B_1_AF027199	1.54623940989427
blaCEPH-A3_1_AY112998	1.56785698950297
blaCTX-M-198_1_KY646304	1.56906815052339
blaVIM-18_1_AM778091	1.59032427838928
tet(O/W/32/O)_5_JQ740053	1.59314285729719
blaPLA1a_1_AY302757	1.59725139455316
blaTEM-145_1_DQ105528	1.62822288612319
lsa(A)_1_AY225127	1.63647815106262
tet(Q)_1_L33696	1.63951997033695
aac(6')-30-aac(6')-Ib'_1_AJ584652	1.64598152727726
tet(W)_1_DQ060146	1.65346971587187
tet(O)_1_M18896	1.6607546015598
blaGES-20_1_JN596280	1.67228936624199
