"BFH12_S130"	"BH09_S83"	"BFH35_S153"	"BSE93_S121"	"BH47_S108"	"BH52_S112"	"BH36_S101"	"BFH33_S151"	"BFH9_S127"	"FH6_S167"	"BH10_S84"	"BFH15_S133"	"BFH22_S140"	"BFH31_S149"	"BH50_S111"	"BH30_S94"	"BFH32_S150"	"BFH6_S125"	"BFH8_S126"	"BSE100_S122"	"BFH20_S138"	"BFH21_S139"	"BFH14_S132"	"BFH24_S142"	"FH1_S162"	"BH34.B_S99"	"BH34.A_S98"	"BH06_S81"	"BSE79_S120"	"BH20_S88"	"BFH17_S135"	"BH31_S95"	"BH11_S85"	"BFH36_S154"	"BH22_S89"	"BFH38.B_S157"	"BH45_S106"	"BH61_S116"	"FH5_S166"	"BFH25_S143"	"BFH41_S160"	"BFH18_S136"	"BH59_S114"	"BH13_S86"	"BH03_S78"	"BH38_S103"	"BFH40_S159"	"BH33_S97"	"BH32_S96"	"BFH13_S131"	"BFH4_S124"	"BFH10_S128"	"BFH39_S158"	"BFH19_S137"	"BH37_S102"	"FH8_S169"	"BH04_S79"	"BH25_S91"	"BH01_S76"	"BFH23_S141"	"BH58_S113"	"BFH38.A_S156"	"BH14_S87"	"BSE74_S119"	"BH05_S80"	"BFH1_S123"	"FH3_S164"	"BH63_S118"	"BH48_S109"	"BFH34_S152"	"BFH28_S146"	"BH07_S82"	"BFH11_S129"	"BH44_S105"	"FH10_S171"	"FH9_S170"	"BFH27_S145"	"BFH29_S147"	"FH7_S168"	"BFH16_S134"	"FH4_S165"	"BH02_S77"	"BH29_S93"	"BH39_S104"	"BH60_S115"	"BH62_S117"	"BH27_S92"	"BFH26_S144"	"BH35_S100"	"BFH37_S155"	"FH2_S163"	"BFH42_S161"	"BH46_S107"	"BH24_S90"	"BH49_S110"	"BFH30_S148"
"lmrP_ARO:3003969_ABF33001.1"	0	3.34526477770716e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.98044825941822e-05	0	0	0	0	0	0	3.80069172589411e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.23011844331641e-05	0.000808865162177465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.12364600656209e-05
"vanHB_ARO:3002943_AAB05626.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.73187163367451e-05	0	0	0	0.000928880093695731	0	0	2.87993548944504e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.36937529099225e-05	0	0	0	0	0	0	0	0	0	0	1.44187790177928e-05	0	0	0	0	0	0	0	0	0.000351685452531256	0	0	1.6606330333123e-05	0	0	0	0	0	0	0	0	0	0	0	0.000540900391112591	0	0	0	0	0
"VIM-38_ARO:3002308_AGE83081.2"	0	0	0	0	0	0	0	0	0	0	0	2.39980801535877e-05	0	0	0	0	0	0	0	0	0.000155868447030706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.45636875007676e-05	0	0	0	0.000128885356475415	0	2.58237785352753e-05	0	0	0	0	0	0	0	0	0	0	1.855769587648e-05	2.06729029924027e-05	0	0	0	0	0	0	1.87825172329596e-05	0	0	0	0	0	0	0	0	0	5.4255434586031e-05	0	0	0	0	0	0	0.000323546064870986	0	0	0	0	0	0	0	0	0	2.91987853305302e-05	0	2.21506019426078e-05	0	0	0	0	0	1.12364600656209e-05
"CMY-17_ARO:3002028_AAS13399.1"	0	0	0	0	0	0	0	0	0	0	0	2.39980801535877e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.04398659144796e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.67470525187567e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.41882209389765e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Erm(41)_ARO:3000603_ABW06859.1"	0	0	0	0	0	0	0	0	0	0	5.91996211224248e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"vanTG_ARO:3002972_ABA71733.1"	0	0	2.68100108580544e-05	0	2.14887399002922e-05	0	0	0.0015737934250408	0	0	0	0	0	0.000477908127851803	0	0	1.52807065798723e-05	0	0	0	0	0	0	0	0.000282702637211744	2.44444987655528e-05	7.98084596967278e-05	5.75987097889007e-05	0	7.96482732254365e-05	0	2.24024373851875e-05	0	1.47297098247165e-05	8.04764204088202e-05	4.91273750015352e-05	0	3.60971735913078e-05	0	0	0.000893894699204434	0	0	0	3.81126610259928e-05	0	9.10477317733822e-05	0	0	6.12907839091262e-05	0.000155896796320836	0	0.00019485580670304	1.03364514962014e-05	0	1.36937529099225e-05	0	0	0	0	0	1.03967395824669e-05	0	0	0	0	1.44187790177928e-05	0	5.31537916371368e-05	0	0	0	0	0	0	0	0	0.000323546064870986	0	4.63027272306339e-05	0	0	0	0	0	7.84026761446791e-05	0	0	0	0	9.70846855843111e-05	2.46596961925429e-05	2.91562190215173e-05	2.34400637569734e-05	3.12251174845045e-05	0.000224729201312419
"ICR-Mc_ARO:3004466_EGE18576.1"	6.78564158241162e-05	0	2.68100108580544e-05	0	4.29774798005845e-05	0	2.00444987873078e-05	3.49731872231289e-05	4.62246053574318e-05	0	0	0	2.05069313427939e-05	0	0	5.08250601429878e-05	3.05614131597445e-05	2.38521168753727e-05	0	0	1.73187163367451e-05	0	2.6763729793384e-05	0	2.01930455151246e-05	7.33334962966584e-05	5.32056397978186e-05	0	0	0	0	0.000156817061696313	0	0	0	1.22818437503838e-05	0	1.80485867956539e-05	0	0	2.97964899734811e-05	0	2.04398659144796e-05	3.2364030616373e-05	0	0	2.27619329433455e-05	0	0	0	0	2.6494277236117e-05	1.855769587648e-05	0	0	0	0	0	0	3.34941050375134e-05	5.63475516988787e-05	2.07934791649339e-05	0.000157397691500525	0	0	5.46388372855426e-05	4.32563370533783e-05	0	0	5.35217298223079e-05	1.80851448620103e-05	4.43291885542035e-05	7.60456273764259e-05	3.01659125188537e-05	0	0	0	0	1.6606330333123e-05	2.31513636153169e-05	0	0	0	0	1.82438472625107e-05	2.61342253815597e-05	4.26630260884405e-05	2.91987853305302e-05	0	3.32259029139117e-05	0	0	0	0	1.56125587422523e-05	0
"OXA-56_ARO:3001795_AAR32651.1"	0	0	0	0	0	3.90472471690746e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.61820153081865e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.01659125188537e-05	0	0	0	0	0	0	0	0	0	3.25309043591412e-05	0	0	2.13315130442202e-05	0	4.62545387266125e-05	0	0	0	0	0	0	0
"AAC(3)-IIIb_ARO:3002537_KSC15183.1"	0	0	0	0	0	0	4.00889975746156e-05	0	0	4.44912426404069e-05	2.95998105612124e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.62424675556711e-05	0	0	0	0	0	0	0	0	0	0	0	1.56125587422523e-05	0
"tet(Y)_ARO:3000182_AAC72341.1"	3.39282079120581e-05	0	0	2.50928435210278e-05	0	0	0	0.0015271625087433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000191369246962013	2.24024373851875e-05	0	1.47297098247165e-05	0	0.000859729062526867	0	0	0	2.14808927459025e-05	0.000148982449867406	0	0	0	0	0	0.000125190631188401	0	0	0	1.94870995401045e-05	0	9.27884793823999e-05	5.16822574810068e-05	0	1.36937529099225e-05	0	0	0	1.67470525187567e-05	0	0.000665391333277884	0	0	0	0	2.88375580355855e-05	0	1.77179305457123e-05	0	3.61702897240207e-05	0	0	0	0	0	0	0	1.6606330333123e-05	0.000162059545307219	0	0	0	0	0	0	2.13315130442202e-05	0	0	0	0	0	2.91562190215173e-05	0	0	4.49458402624837e-05
"FosB_ARO:3000172_AAP08996.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.26630260884405e-05	0	0	0	0	0	0	0	1.56125587422523e-05	0
