GENE	BFH12_S130	BH09_S83	BFH35_S153	CP1	SWESTP30	CP5	BSE93_S121	BH47_S108	BH52_S112	BH36_S101	SWE41a	IRL69_2	SWE41a_1	BFH33_S151	BFH9_S127	FH6_S167	BH10_S84	ESP75	SWESTP53	BFH15_S133	AHMA4	BFH22_S140	BFH31_S149	BH50_S111	BH30_S94	BFH32_S150	FIN25_1	BFH6_S125	ESP75_2	SWESTP33	BFH8_S126	BSE100_S122	BFH20_S138	BFH21_S139	BFH14_S132	BFH24_S142	FH1_S162	BH06_S81	BSE79_S120	SWESTP31	BH34A_S98	ASMA1	DEU27_1	BH20_S88	BFH17_S135	BH31_S95	DEU27	BH11_S85	BFH36_S154	ESP75_1	BH22_S89	BH45_S106	BH61_S116	FH5_S166	BFH25_S143	BFH41_S160	IRL69	BFH18_S136	BH59_S114	BH13_S86	BH03_S78	BH38_S103	BFH40_S159	AHMA5	BFH38B_S157	BH33_S97	BH32_S96	BFH13_S131	AHMA2	BFH4_S124	AHMA3	BFH10_S128	BFH39_S158	CP7	JTH	BFH19_S137	CP6	BH37_S102	FH8_S169	Seafield	SWE41a_2	BH04_S79	CP8	BH25_S91	SWE41	BH01_S76	BFH23_S141	BH58_S113	SWESTP49	ASMA3	CP4	FIN25	BH14_S87	BSE74_S119	BH05_S80	BFH1_S123	SWESTP57	FH3_S164	BH63_S118	BH48_S109	BFH34_S152	BFH28_S146	BH07_S82	BFH11_S129	BH44_S105	FH10_S171	FH9_S170	BFH27_S145	BFH29_S147	IRL69_1	FH7_S168	BFH16_S134	DEU27_2	FH4_S165	SWESTP35	BH02_S77	BH29_S93	SWESTP37	BH39_S104	BH60_S115	BH62_S117	BH27_S92	BFH26_S144	BH35_S100	ASMA2	BFH37_S155	FH2_S163	BFH42_S161	BH46_S107	CP3	BH24_S90	FIN25_2	BH34B_S99	AHMA1	BFH38A_S156	BH49_S110	BFH30_S148
1995_tnpA_CP009111.1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2490_tnpA_FO681494.1	0	26	7	7	24	3	0	7	0	4	0	1	2	6	3	1	7	1	8	4	17	1	2	0	3	6	3	2	0	11	4	0	0	0	0	0	3	0	0	19	1	0	0	0	0	5	0	1	2	0	0	1	1	2	1	21	0	0	2	3	0	1	6	0	4	0	1	4	16	0	12	0	0	1	9	0	0	1	0	0	0	0	0	0	3	1	2	6	6	0	1	4	1	0	1	0	30	1	0	12	4	2	4	0	5	0	1	0	1	0	6	0	0	4	13	1	3	27	2	14	0	16	6	0	0	0	4	20	0	0	0	0	5	7	2	11	55
331_tnpA_AY208917.2	121	152	1769	875	303	624	36	65	18	50	61	59	41	1295	14	49	364	48	3	29	293	24	446	46	35	941	4	65	19	62	16	4	352	62	8	1	156	3	3	121	9	67	16	1	10	14	7	2	3465	24	2	44	6	14	804	211	233	20	54	135	59	26	101	449	783	9	379	1	132	0	1664	15	308	789	309	1284	4860	86	34	2021	23	5	3465	2	65	44	184	43	7	6	299	28	5	28	358	171	22	88	2	249	632	470	43	112	40	0	327	4	167	136	82	2	5	26	155	27	57	139	10	40	6	105	421	52	31	292	183	11	9	1820	2	28	10	613	751	30	251
458_tnpA_KC609323.1	0	10	4	1	11	3	0	2	3	1	3	1	0	68	0	0	12	0	2	0	94	0	3	4	5	6	0	0	2	13	3	1	8	0	0	0	1031	0	1	16	3	1	0	0	1	5	0	0	2	1	0	0	8	0	6	25	1	1	3	4	2	3	6	24	1	0	4	0	363	0	415	0	9	1	8	0	7	1	124	1	1	1	0	0	2	1	4	7	16	4	0	0	0	0	1	1	14	1	0	6	0	2	1	0	6	0	3	0	1	3	90	1	0	1	18	2	6	24	2	4	4	4	9	3	9	0	57	10	0	3	0	0	0	10	2	4	28
746_tnpA_AJ863570.1	683	373	758	584	531	1816	196	1290	943	868	230	71	176	1181	1430	65	1048	297	131	4876	1098	911	303	359	582	1478	33	4096	380	729	4538	28	568	714	118	4	255	54	18	919	396	5	54	7	171	759	57	15	630	436	10	401	1104	42	2034	1221	302	166	14772	566	339	2787	935	608	1213	196	1029	1602	1672	28	2002	249	260	457	552	292	289	443	573	293	61	6	549	24	325	1044	912	18878	378	13	333	193	65	16	1339	1175	745	280	4	1012	1694	845	156	630	470	9	182	8	469	214	743	399	30	260	627	337	940	567	638	19573	814	339	518	530	78	219	1041	336	464	651	9	195	471	1754	1364	1610	1330
758_tnpA3_FR875157.1	2	50	6	2	31	2	2	3	4	19	11	1	8	9	2	0	23	4	24	9	25	1	11	3	16	32	1	11	1	49	12	0	8	2	0	0	2	0	0	47	3	0	0	1	1	12	1	0	3	0	0	8	11	0	5	75	9	0	35	19	1	14	27	0	13	5	17	4	31	0	27	2	4	3	25	2	0	7	4	5	5	0	1	0	6	4	7	52	60	0	1	4	0	1	4	4	91	2	0	60	32	3	21	1	15	0	1	0	14	2	5	1	0	2	68	7	35	61	7	58	1	57	5	4	2	8	5	29	3	1	0	4	10	6	10	65	104
1143_tnpA_FR820585.1	0	4	11	0	7	6	0	1	0	0	4	0	2	0	0	0	10	1	1	0	63	0	1	0	0	2	0	0	0	14	0	0	1	0	0	0	1	0	0	15	0	0	0	0	0	0	0	0	0	1	0	2	0	2	2	0	4	0	0	0	1	0	0	0	0	0	0	0	56	0	49	0	0	0	4	1	0	0	0	3	3	0	0	0	1	0	1	2	4	3	0	0	0	0	0	0	25	0	0	5	0	2	0	0	2	0	1	0	0	1	3	0	0	1	35	1	0	26	0	0	0	4	2	0	1	0	1	1	0	0	0	5	0	9	0	2	1
1490_tnpA_AJ515144.2	1	1	0	1	62	19	1	0	1	0	21	17	23	2	0	3	0	15	11	0	26	0	0	2	14	29	0	21	29	60	1	1	30	18	0	0	27	0	0	39	0	0	10	0	0	10	10	0	4	45	0	0	0	5	64	3	48	6	0	3	0	0	8	24	9	0	1	0	10	0	33	0	1	4	8	12	2	0	19	26	8	0	19	0	38	0	0	0	0	3	3	22	0	0	0	18	18	104	0	0	4	0	0	4	0	1	6	0	0	46	17	0	5	1	42	0	2	76	5	0	0	0	8	0	1	0	50	1	1	7	0	35	1	29	19	0	0
2200_tnpA_AY365053.1	0	0	6	2	3	9	1	1	0	2	0	0	0	1	0	0	0	1	0	0	67	0	6	1	7	2	1	2	0	13	1	1	0	0	0	0	1	1	0	6	0	0	0	0	0	1	0	3	3	0	0	3	0	0	10	9	0	0	3	5	1	0	2	1	1	0	0	1	61	0	55	0	0	1	3	1	1	2	3	1	0	0	1	0	0	0	72	8	0	1	0	0	1	0	0	0	2	0	0	1	1	1	1	0	0	1	2	0	3	1	8	0	1	2	20	0	4	10	0	7	0	3	1	0	3	0	2	14	0	9	0	0	3	32	1	2	13
2307_tnpA_AF333761.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
