gene	log2FoldChange
aph(2'')-Ib_3_KF652098	-2.62560905773459
blaCMY-21_1_DQ139328	-2.62400836446769
blaCMY-111_1_KJ155695	-2.6215008260291
blaCMY-148_1_KY624573	-2.61666433431994
sul1_11_DQ914960	-2.61208640346257
sul1_10_DQ143913	-2.60905323408352
sul1_18_AY260546	-2.59538406586213
blaCMY-27_1_EU515250	-2.5947920364447
ere(A)_1_AY183453	-2.58950560174444
ARR-2_1_HQ141279	-2.58849272320211
blaCMY-16_1_AJ781421	-2.58739596084221
sul1_25_AY878717	-2.58497603255993
blaCMY-56_1_HQ322613	-2.58140710274921
blaOXA-392_1_AB901044	-2.5811784288133
blaCMY-147_1_KY563765	-2.58040555936197
aadA13_1_AY713504	-2.58015187198466
sul1_23_AJ621187	-2.5794312636395
blaCMY-23_1_DQ438952	-2.57790075331347
blaCMY-14_1_AJ555825	-2.57311246442921
erm(47)_1_KU612222	-2.56710681542367
sul1_24_EU117158	-2.56004915830875
sul1_29_AJ746361	-2.55631912793371
blaCMY-2_1_X91840	-2.55395316133501
sul1_32_EF592571	-2.55076895131324
sul1_17_AM746675	-2.54769217522835
blaCMY-153_1_MF042206	-2.54452959697246
blaOXA-3_1_L07945	-2.54413968304835
catB3_1_AJ009818	-2.53828049873992
aph(2'')-Ib_2_AF207840	-2.53431401894021
blaCMY-146_1_KX034085	-2.53377656007931
sul1_31_AM040449	-2.53338262783395
blaSCO-1_1_EF063111	-2.53329772293164
sul1_37_AF188331	-2.53300385690618
sul1_36_X15024	-2.53148438763062
blaCMY-149_1_KY624574	-2.51132912522386
blaCMY-133_1_KP862819	-2.50891484604895
sul1_7_FJ715937	-2.50513918508173
blaCMY-143_1_KY009534	-2.50225985800949
blaCMY-62_1_JF460796	-2.49493928176983
sul1_8_JN581942	-2.49386227066282
blaCMY-30_1_LMYO01000054	-2.48954252358176
blaCMY-60_1_JF460794	-2.48772106560905
dfrA7_4_FN563072	-2.48642621359377
sul1_27_GU562437	-2.47645782450906
blaOXA-31_1_AF294653	-2.46605807273009
ARR-3_4_FM207631	-2.46352954325772
blaCMY-24_1_EF415650	-2.45921413439883
aac(3)-IIa_5_FJ012882	-2.44527891771638
blaOXA-368_1_KT736121	-2.43027709883665
aac(6')-Il_1_U13880	-2.42989672521642
blaCMY-33_1_EU496816	-2.42632842260567
blaCMY-17_1_AY513266	-2.42272497348761
blaCMY-138_1_KT997883	-2.41440050767226
blaOXA-246_1_EU886980	-2.412230017049
blaCMY-132_1_KP862820	-2.41204472141744
blaCMY-45_1_FN546177	-2.40595222318972
blaCMY-55_1_HM544040	-2.40197061233077
tet(44)_2_FN594949	-2.39903853623157
blaCMY-43_1_FJ360626	-2.35673726112175
sul1_5_EU780013	-2.35483819175626
tet(A)_2_X00006	-2.35458083461071
tetB(P)_1_NC_010937	-2.34943437812166
mef(A)_4_HG423652	-2.31958208222055
aadA13_2_NC010643	-2.31469432929736
sul1_33_AJ564903	-2.31467619781824
sul2_15_FJ968160	-2.31243424005012
blaCMY-7_1_DQ173300	-2.30502392862908
blaCMY-42_1_HM146927	-2.29320947997666
mcr-5.1_1_KY807921	-2.28785527208676
blaCMY-2b_1_U77414	-2.28589500323472
blaCMY-141_1_KX537750	-2.27998870937782
blaOXA-240_1_JX089628	-2.27215130184821
sul2_19_AJ319822	-2.24027258878601
blaOXA-21_1_AB626885	-2.22155957836163
blaCMY-44_1_FJ437066	-2.2109277076479
blaOXA-320_1_KF151169	-2.21080761052106
sul2_9_FJ197818	-2.2084747786989
blaOXA-454_1_LC037981	-2.19153393920566
blaCMY-20_1_AY960293	-2.17930757747888
tetA(P)_1_AB054980	-2.16078785663652
aac(3)-IIe_1_EU022315	-2.15482248317372
sul2_20_AJ830710	-2.15408368601495
blaCMY-95_1_JX514369	-2.14965941779923
blaCMY-142_1_KX881969	-2.13384596289842
blaBES-1_1_AF234999	-2.13209389789978
sul2_14_AJ514834	-2.11085814893106
blaCMY-140_1_KX354367	-2.10611418568149
blaOXA-56_1_AY445080	-2.09602129038749
blaOXA-28_1_AF231133	-2.08980374719241
blaOXA-11_1_Z22590	-2.08831889152214
sul2_10_AM183225	-2.08789136024741
blaTLA-1_1_AF148067	-2.07772573163168
blaCMY-94_1_JX514368	-2.0774408313364
