"r"	"p"	"p.ad"	"Gene"
0.645108839415152	1.64087053025603e-07	3.8012444716356e-09	"blaOXA-233_1_KJ657570"
0.600458433227408	2.76182757273381e-06	7.81984640928492e-08	"blaOXA-240_1_JX089628"
0.682676233807336	9.60749490838478e-09	1.97837732991192e-10	"blaOXA-251_1_JN118546"
0.724558880724897	2.56321032101269e-10	4.17854964386453e-12	"blaOXA-256_1_HE616889"
0.329679994586313	0.0798763514251155	0.00644219393733235	"blaOXA-372_1_KJ746496"
0.283986605411318	0.186680134556454	0.019861292737023	"blaSHV-2a_1_X98102"
0.333795442439812	0.0727251980201665	0.00577184111271162	"blaSHV-104_1_EU274581"
0.285321644926943	0.181798278742672	0.0192639102743201	"blaSHV-147_1_JX121114"
0.246445404204805	0.36561636245789	0.0443884301053551	"blaSHV-152_1_JX121119"
0.290383231194404	0.169977430668654	0.0171362918091521	"blaVEB-1_1_HM370393"
0.434290762198852	0.00483747334144233	0.0002407322640958	"blaVEB-1_3_DQ393569"
0.356423085647739	0.0430174145099196	0.00307206067451302	"blaVEB-1_4_AF324834"
0.355859720573988	0.0430715513986074	0.00312241387167602	"blaVEB-2_1_AY027870"
0.29580563404739	0.156265862704585	0.0150835774811376	"blaVEB-3_1_AY536519"
0.356371881896542	0.0430174145099196	0.00307660716801991	"blaVEB-4_1_EF136375"
0.371849915200301	0.0296469522515657	0.00194593895087497	"blaVEB-5_1_EF420108"
0.363668478738339	0.0369094105384573	0.00248596201395873	"blaVEB-6_1_EU259884"
0.386281747585919	0.0202397334057892	0.00124373076066508	"blaVEB-7_1_FJ825622"
0.400162618416149	0.0145561874090437	0.000793065551672481	"blaVEB-8_1_JX679208"
0.421788313922943	0.00740596870037825	0.000378082486205496	"blaNPS_1_AY027589"
0.447330484154236	0.00307010033264703	0.000147512328295353	"blaLCR-1_1_X56809"
0.282054255841204	0.193509225171628	0.0207538851535423	"blaAER-1_1_U14748"
0.242768328881521	0.389286568345268	0.0477631739797283	"blaGES-4_1_AB116723"
0.257162345183069	0.303339788985404	0.0356564144924928	"blaGES-11_1_FJ854362"
0.571305098311632	1.26316039925267e-05	4.44355009604115e-07	"blaOXA-158_1_KP771986"
0.540264378101291	6.42795416447487e-05	2.37153178097314e-06	"blaOXA-246_1_EU886980"
0.571305098311632	1.26316039925267e-05	4.44355009604115e-07	"blaZ_29_JDXN01000019"
0.36149213713187	0.0388575935938	0.00265051796714466	"blaCTX-M-158_1_KM211691"
0.24503565522035	0.374751500944675	0.045658269527365	"blaCTX-M-166_1_KU978909"
0.319886225233247	0.0990284526464022	0.00831916397987698	"blaCTX-M-175_1_KT997887"
0.289002967957936	0.172586612478495	0.0176954956595282	"blaCMY-152_1_KY978224"
0.249693868175639	0.348584245615568	0.0415728958734997	"blaCMY-118_1_KM087838"
0.298902555310361	0.148431150960647	0.0140089460366119	"blaCMY-112_1_KM087837"
0.251077645147361	0.340134434224905	0.0404192356414838	"blaCMY-103_1_KF526116"
0.241727798698824	0.395989699770407	0.0487554885603203	"blaSHV-2_1_AF148851"
0.587284570570424	5.7584238743781e-06	1.75117676753146e-07	"blaCARB-1_1_AF313471"
0.587258031417828	5.7584238743781e-06	1.75396008185691e-07	"blaCARB-2_1_M69058"
0.590243696671068	4.95143659431954e-06	1.46567621196074e-07	"blaCARB-3_1_S46063"
0.610427800995649	1.50981007939787e-06	4.14533869933348e-08	"blaCARB-6_1_AF030945"
0.591692918864212	4.67056581996268e-06	1.34246207609395e-07	"blaCARB-11_1_AY008290"
0.581692193726638	7.58228094354596e-06	2.43960133318725e-07	"blaCARB-12_1_D13210"
0.610604381969166	1.50981007939787e-06	4.09818759508425e-08	"blaCARB-50_1_NG_052478"
0.301544535694197	0.141856456149977	0.0131449997976813	"ole(B)_1_L36601"
0.400618979056496	0.0145348515452192	0.000781160259547525	"tlr(C)_1_M57437"
0.351085428642749	0.0482303296231971	0.00357951395315877	"lnu(F)_3_AJ561197"
0.404099554770943	0.0131816591367464	0.000695557303226002	"cmlA1_1_M64556"
0.355856168503675	0.0430715513986074	0.0031227336706841	"cmlA1_2_AB212941"
0.409484480685242	0.011169232899906	0.000579784290385509	"cml_1_M22614"
0.355474563371349	0.0432916138720872	0.00315726055695187	"floR_1_AF071555"
0.268359416668536	0.249156129033269	0.0281115666820033	"floR_2_AF118107"
0.493338344313181	0.000527462122429859	2.21755847267808e-05	"qnrVC4_1_GQ891757"
0.503119417060482	0.000350768947896885	1.42956027671403e-05	"qnrVC5_1_JN408080"
0.925168508295075	1.85727511360057e-26	4.78063092303878e-29	"sul1_2_U12338"
0.92450652018992	2.09743822876472e-26	6.29861329959374e-29	"sul1_3_EU855787"
0.966954078045566	6.23940321884074e-37	2.67670665758933e-40	"sul1_5_EU780013"
0.928470080461537	6.7727804724689e-27	1.16221029128595e-29	"sul1_7_FJ715937"
0.871083726727569	7.67169440368429e-20	9.54436455198818e-22	"sul1_8_JN581942"
0.840246147332952	4.46452189090797e-17	6.12890178074024e-19	"sul1_9_AY963803"
0.923201203243149	2.78947256969309e-26	1.07701643617494e-28	"sul1_10_DQ143913"
0.904157597819669	1.07873969392781e-23	1.06439352039209e-25	"sul1_11_DQ914960"
0.920997009637861	6.0810264432009e-26	2.60876295289614e-28	"sul1_14_AJ517791"
0.894132032299604	1.98454218715645e-22	2.29869751408083e-24	"sul1_15_EF667294"
