"BFH12_S130"	"BH09_S83"	"BFH35_S153"	"BSE93_S121"	"BH47_S108"	"BH52_S112"	"BH36_S101"	"BFH33_S151"	"BFH9_S127"	"FH6_S167"	"BH10_S84"	"BFH15_S133"	"BFH22_S140"	"BFH31_S149"	"BH50_S111"	"BH30_S94"	"BFH32_S150"	"BFH6_S125"	"BFH8_S126"	"BSE100_S122"	"BFH20_S138"	"BFH21_S139"	"BFH14_S132"	"BFH24_S142"	"FH1_S162"	"BH34.B_S99"	"BH34.A_S98"	"BH06_S81"	"BSE79_S120"	"BH20_S88"	"BFH17_S135"	"BH31_S95"	"BH11_S85"	"BFH36_S154"	"BH22_S89"	"BFH38.B_S157"	"BH45_S106"	"BH61_S116"	"FH5_S166"	"BFH25_S143"	"BFH41_S160"	"BFH18_S136"	"BH59_S114"	"BH13_S86"	"BH03_S78"	"BH38_S103"	"BFH40_S159"	"BH33_S97"	"BH32_S96"	"BFH13_S131"	"BFH4_S124"	"BFH10_S128"	"BFH39_S158"	"BFH19_S137"	"BH37_S102"	"FH8_S169"	"BH04_S79"	"BH25_S91"	"BH01_S76"	"BFH23_S141"	"BH58_S113"	"BFH38.A_S156"	"BH14_S87"	"BSE74_S119"	"BH05_S80"	"BFH1_S123"	"FH3_S164"	"BH63_S118"	"BH48_S109"	"BFH34_S152"	"BFH28_S146"	"BH07_S82"	"BFH11_S129"	"BH44_S105"	"FH10_S171"	"FH9_S170"	"BFH27_S145"	"BFH29_S147"	"FH7_S168"	"BFH16_S134"	"FH4_S165"	"BH02_S77"	"BH29_S93"	"BH39_S104"	"BH60_S115"	"BH62_S117"	"BH27_S92"	"BFH26_S144"	"BH35_S100"	"BFH37_S155"	"FH2_S163"	"BFH42_S161"	"BH46_S107"	"BH24_S90"	"BH49_S110"	"BFH30_S148"
"aac(6')-Iz_2_AB971834"	0	0	0	0	0	0	0	0	0	0	3.53603763362421e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"aac(6')-29b_1_AF263519"	0	0	0	0	0	0	0	0	0	0	0	0	3.20776463809663e-08	0	0	0	0	0	0	0	0	0	0	0	5.17850397351318e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.02912761990088e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"aac(6')-29a_1_AF263519"	4.08909332901634e-08	0	0	0	0	0	0	0	0	0	0	3.23973102457142e-08	0	0	0	0	0	0	0	0	0	0	0	0	6.59082323901677e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"aac(6')-Iaa_1_NC_003197"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"aac(6')-Ih_2_KT778788"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"aac(6')-Ix_1_AF031332"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.70773088501198e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.24584472638357e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"aac(6')-Il_1_U13880"	2.04454666450817e-07	0	5.3166343166083e-07	0	2.71491785187989e-08	0	5.19913033107126e-07	1.4840630916774e-07	0	0	0	9.71919307371425e-08	0	3.25621190801905e-08	1.07568729426136e-07	3.18865876745348e-06	1.15123401493582e-07	0	5.82866884394648e-08	2.82567397198519e-08	5.63022849409658e-08	1.60840755374668e-07	0	0	4.70773088501198e-08	2.30885150337897e-07	7.37100175673085e-08	0	0	0	0	5.64349607572075e-07	0	3.26340366221694e-06	0	1.02366449573587e-07	3.83255681899624e-08	0	0	3.63698943900926e-07	1.64108883837496e-07	1.17529985131282e-07	0	0	6.3376348339733e-08	7.20109574753333e-08	2.9823881628298e-08	4.22020524546191e-07	9.15037153253534e-08	0	0	3.12785103621951e-08	1.34101524079913e-07	1.0444815444289e-05	2.28266245731535e-07	1.62625355866703e-06	0	0	3.64866787318383e-08	6.2150825011804e-08	0	2.07288917990937e-07	0	0	3.54737018017483e-08	1.27808095633174e-07	0	0	2.43960787304398e-08	7.04389000905375e-07	1.29626243827869e-06	0	6.38493196918836e-08	1.73465472391582e-07	0	4.22708777873258e-08	0	1.48392544758551e-06	2.65257859438799e-06	3.29601758016673e-08	0	3.24922107235538e-08	3.70317726533841e-06	4.02371177584994e-06	0	0	3.05176405237401e-08	1.19240799789778e-07	3.0770894291116e-08	6.28640377848071e-08	0	2.70448612856894e-08	1.3994655441087e-07	0	5.66015922876934e-08	1.23117885344438e-07
"aac(6')-Ia_2_M86913"	0	0	9.96868934364056e-08	0	0	0	0	0	0	0	0	0	0	0	0	5.90492364343237e-08	0	3.14204865782836e-08	0	0	0	2.68067925624447e-08	0	0	4.70773088501198e-08	0	0	0	0	0	0	0	0	0	0	1.02366449573587e-07	0	0	0	0	0	0	0	0	0	0	0	1.68808209818476e-07	3.05012384417845e-08	0	0	0	0	1.96608290716029e-07	0	0	0	0	0	6.2150825011804e-08	0	5.92254051402677e-08	0	0	0	0	3.24584472638357e-08	0	2.43960787304398e-08	0	6.02912761990088e-08	0	0	0	0	0	0	0	0	0	0	0	2.89310723854563e-08	0	0	0	0	8.94305998423338e-08	0	0	0	0	0	0	5.66015922876934e-08	0
"aac(6')-Iag_1_AB472901"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"aac(2')-IIa_1_AB669090"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"kamB_1_AJ629123"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"grmO_1_AY524043"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fmrO_1_Q08325"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.23548607984205e-08	0	0	0	0	0	0	0	0	0	0	0	0
"grmB_1_M55521"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"grmA_1_M55520"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"kgmB_1_S60108"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sgm_1_M87057"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"aph(3')-VI_2_APPJ01000012"	0	0	0	0	2.71491785187989e-08	0	0	1.4840630916774e-07	0	5.55873594662216e-07	0	0	0	0	0	0	0	0	0	0	2.81511424704829e-08	0	0	0	1.88309235400479e-07	0	0	6.34060044344891e-08	0	0	0	0	0	0	0	1.02366449573587e-07	0	0	7.42202852871904e-08	0	2.73514806395826e-08	3.91766617104272e-08	0	0	0	0	2.9823881628298e-08	0	0	0	0	0	2.68203048159827e-08	0	0	0	0	0	0	0	0	5.92254051402677e-08	0	0	0	0	6.49168945276713e-08	0	0	0	3.01456380995044e-08	0	0	0	0	0	0	3.07984526857371e-07	0	0	8.25756603616847e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	2.83007961438467e-08	1.84676828016657e-07
"aph(3')-IX_1_APPN01000061"	0	0	0	0	0	0	0	2.96812618335481e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ant(6)-Ia_5_AB247327"	0	0	0	0	2.4434260666919e-07	2.71577394288771e-08	2.42626082116659e-07	5.93625236670962e-08	1.17155927392848e-07	3.97052567615869e-08	3.53603763362421e-08	0	9.62329391428988e-08	3.25621190801905e-08	6.45412376556815e-07	8.85738546514855e-08	8.63425511201867e-08	9.42614597348507e-08	2.04003409538127e-07	0	2.81511424704829e-08	0	0	0	4.70773088501198e-07	4.2878670777038e-07	4.42260105403851e-07	2.21921015520712e-07	0	0	0	1.78215665549076e-07	3.29931214620651e-08	0	0	4.43587948152212e-07	3.83255681899624e-08	2.88054183515654e-07	0	0	4.37623690233322e-07	1.56706646841709e-07	0	0	0	3.60054787376666e-07	6.26301514194259e-07	8.44041049092382e-08	9.15037153253534e-08	0	3.21939321263056e-08	9.38355310865854e-08	1.04599188782332e-06	2.45760363395036e-08	0	7.07066764637838e-08	0	3.88381701225259e-08	0	0	2.7622585651354e-08	3.8496513341174e-07	3.93535610899693e-08	0	1.06421105405245e-07	0	6.81627392540549e-07	0	1.46376472382639e-07	0	6.02912761990088e-08	0	6.38493196918836e-08	6.93861889566329e-08	0	1.26812633361977e-07	0	2.79985933506701e-07	0	1.64800879008336e-07	5.53256924423287e-06	0	2.89310723854563e-08	2.54129164790523e-07	8.60925073174327e-08	6.48497706425737e-07	3.05176405237401e-08	2.98101999474446e-08	1.5385447145558e-07	3.14320188924035e-08	1.23971030555087e-06	1.08179445142758e-07	2.44906470219023e-07	0	2.5470716529462e-07	5.5403048404997e-07
